batch_id,sampled_at,treatment_history,parameter,value,unit,basis,method,analyte,qualifier,detection_limit,provenance,notes
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","chromium","10","mg/kg","dry solids","","total chromium","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","mercury","0.1","mg/kg","dry solids","","total mercury","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","arsenic","1","mg/kg","dry solids","","total arsenic","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","copper","20","mg/kg","dry solids","","total copper","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","nickel","5","mg/kg","dry solids","","total nickel","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-CANDIDATE","2026-09-01","Synthetic scenario; no real treatment or laboratory test","zinc","40","mg/kg","dry solids","","total zinc","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","moisture","85","%","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","totalSolids","15","%","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","volatileSolids","60","%","total solids","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","quantity","10","tonne","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","ph","10","pH","as reported","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","nitrogen","2","%","dry solids","","total nitrogen","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","phosphorus","1","%","dry solids","","total phosphorus","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","carbonNitrogenRatio","25","ratio","mass C:N","","total carbon:total nitrogen","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","eColi","500","CFU/g","dry solids","Synthetic method label; not validated","E. coli","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","helminthIndicator","0","eggs/g","dry solids","Synthetic method label; not validated","viable helminth eggs","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","lead","10","mg/kg","dry solids","","total lead","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","cadmium","0.1","mg/kg","dry solids","","total cadmium","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","chromium","10","mg/kg","dry solids","","total chromium","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","mercury","0.1","mg/kg","dry solids","","total mercury","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","arsenic","1","mg/kg","dry solids","","total arsenic","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","copper","20","mg/kg","dry solids","","total copper","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","nickel","5","mg/kg","dry solids","","total nickel","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-TREATMENT","2026-09-01","Synthetic scenario; no real treatment or laboratory test","zinc","40","mg/kg","dry solids","","total zinc","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","moisture","55","%","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","totalSolids","45","%","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","volatileSolids","60","%","total solids","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","quantity","10","tonne","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","ph","7","pH","as reported","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","nitrogen","2","%","dry solids","","total nitrogen","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","phosphorus","1","%","dry solids","","total phosphorus","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","carbonNitrogenRatio","25","ratio","mass C:N","","total carbon:total nitrogen","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","eColi","10","CFU/g","dry solids","Synthetic method label; not validated","E. coli","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","helminthIndicator","0","eggs/g","dry solids","Synthetic method label; not validated","viable helminth eggs","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","lead","500","mg/kg","dry solids","","total lead","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","cadmium","0.1","mg/kg","dry solids","","total cadmium","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","chromium","10","mg/kg","dry solids","","total chromium","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","mercury","0.1","mg/kg","dry solids","","total mercury","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","arsenic","1","mg/kg","dry solids","","total arsenic","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","copper","20","mg/kg","dry solids","","total copper","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","nickel","5","mg/kg","dry solids","","total nickel","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-EXCLUDED","2026-09-01","Synthetic scenario; no real treatment or laboratory test","zinc","40","mg/kg","dry solids","","total zinc","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-MISSING","2026-09-01","Synthetic scenario; no real treatment or laboratory test","quantity","5","tonne","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
"SYN-MISSING","2026-09-01","Synthetic scenario; no real treatment or laboratory test","moisture","80","%","wet mass","","","measured","","synthetic","Invented hackathon sample. No real lab analysis or treatment is represented."
